93, 38, R, 5, 0
87, 59, R, 5, 0
42, 100, R, 5, 0
15, 106, R, 5, 0
5, 142, R, 5, 0
82, 171, R, 5, 0
101, 104, R, 5, 0
80, 258, R, 5, 0
95, 250, R, 5, 0
92, 293, R, 5, 0
81, 386, R, 5, 0
147, 380, R, 5, 0
176, 385, R, 5, 0
132, 337, R, 5, 0
231, 389, R, 5, 0
156, 317, R, 5, 0
160, 293, R, 5, 0
180, 286, R, 5, 0
223, 324, R, 5, 0
217, 228, R, 5, 0
152, 196, R, 5, 0
162, 162, R, 5, 0
187, 48, R, 5, 0
177, 3, R, 5, 0
266, 304, R, 5, 0
330, 317, R, 5, 0
388, 384, R, 5, 0
572, 330, R, 5, 0
598, 334, R, 5, 0
464, 261, R, 5, 0
372, 207, R, 5, 0
381, 175, R, 5, 0
228, 60, R, 5, 0
289, 105, R, 5, 0
353, 55, R, 5, 0
348, 100, R, 5, 0
456, 81, R, 5, 0
499, 93, R, 5, 0
502, 130, R, 5, 0
442, 44, R, 5, 0
77.28571428571428, 84.42857142857143, R, 5, 3
46.33333333333333, 131.33333333333334, R, 5, 2
18.714285714285715, 176.14285714285714, R, 5, 3
98.0, 125.0, R, 5, 9
133.33333333333331, 73.33333333333333, R, 5, 5
165.33333333333331, 87.0, R, 5, 7
154.28571428571428, 106.71428571428572, R, 5, 7
59.0, 279.6774193548387, R, 5, 9
165.96774193548387, 333.258064516129, R, 5, 9
136.33333333333334, 298.6666666666667, R, 5, 3
177.66666666666666, 304.0, R, 5, 7
206.11111111111111, 310.76190476190476, R, 5, 12
214.57142857142856, 246.42857142857144, R, 5, 7
192.14285714285714, 198.57142857142856, R, 5, 5
160.0, 131.0, R, 5, 6
186.85714285714286, 52.0, R, 5, 6
188.42857142857144, 165.73015873015873, R, 5, 12
242.03174603174602, 175.88888888888889, R, 5, 19
224.50323525821022, 197.93944573312172, R, 5, 19
249.96825396825398, 254.53968253968253, R, 5, 10
244.8709677419355, 291.4516129032258, R, 5, 10
256.2857142857143, 319.1428571428571, R, 5, 6
285.66666666666663, 300.0, R, 5, 8
327.61290322580646, 334.93548387096774, R, 5, 7
302.1428571428571, 313.42857142857144, R, 5, 6
281.2, 253.66666666666669, R, 5, 8
278.7142857142857, 219.0, R, 5, 7
252.61904761904762, 222.95238095238096, R, 5, 25
267.7655105031754, 168.2506106497313, R, 5, 14
247.66666666666666, 151.33333333333334, R, 5, 14
231.73333333333335, 109.13333333333333, R, 5, 16
211.0, 45.666666666666664, R, 5, 4
308.0, 48.714285714285715, R, 5, 7
319.93333333333334, 94.13333333333333, R, 5, 11
326.3225806451613, 74.32258064516128, R, 5, 10
385.2857142857143, 38.714285714285715, R, 5, 4
471.3333333333333, 59.666666666666664, R, 5, 2
